reviewTitle,reviewBody
"Some reviewers were missing bags... well, I got an extra!","Which really I'm not rating that as a positive thing, since... that's just... well, poor quality control. If some people are getting shorted and some people are getting extra there's definitely something wrong with the system in place for sorting these things. Otherwise though I've opened and tried four of my five bags and they were all good except for one which was borderline hard and chewy rather than the soft gummy texture the rest had. I can't REALLY fault that, since... I mean, I've gotten bad bags from the grocery store too, but... still, kind of a points deduction there, plus the lack of care in packaging. Otherwise good."
Teal Marble,It is absolutely beautiful ???? the colors are vibrant and print isn’t blurry. Easy to put on and fits perfectly. Great product for the price.
Very flimsy and wouldn't stay up to the front  window.,Automobile
Cool to have,Nasty taste
Love it,Great to keep butter
What is pictured in the product page is FRAUD,"Funny thing, I ordered this before due to the pandemic and used it and was happy with the product. I made a second order, and they only shipped 3 items instead of 4. I started looking into it, and realized that they are shipping something other than what they are advertising."
I think it works it’s just difficult with a marker,I have a male cat that just insists upon marking I’ve tried this and the remover I think it probably does it’s job but he is doing his job stronger LOL
Buy it!,This stuff is amazing! Held decorations to the wall for 4 days and easy to take down without wall damage.
I would like my refund it is dented,I need to send it back it was a used one the microphone speaker is dented
2 sizes too small,2 sizes too small. Very thin
"Didn't last long, snapped about a week later, no good reason...",Cheaply made
Best Invisible bras ever!!!,"Real product and display picture is consistent, without any color different, material quality is very good! Also, the price is very inexpensive, chest stick very nicely chest, very sticky, together and has good effect, use up very comfortable, without any allergic reactions. It can also use water to clean after use, immediately back to the appearance of new, It's amazing!"
Adorable!,Love this accent lamp! Added such character to my kitchen desk! Very well crafted!
Disappointed,Couplings leak intermittently. Especially when there is movement in the hose.  I have a Bostitch pancake compressor and after reading mostly positive reviews I was expecting a solid product. Unfortunately this hose does not meet my expectations and the leaky couplings forces my compressor to run more frequently.
Great,My students absolutely loved these!
Quality great for price,The quality is great for the price! Sticky enough to stay on for long periods of time but don’t hurt when you take them off!
mine doesn't work,it doesn't work - I cannot talk through wired headphones and charge the phone at the same time
Easy to use and no mess,"Instead of trying to make a sugar solution, this liquid nectar is so much better and it does not contain red dye. Another plus compared to other products"
Love!!,"I just repurchased this. The first one lasted me about 2 years with daily use. The alarm stopped working one day, but in all fairness, I did drop it a bunch of times :/ I love waking up to the light and the alarm music is not insanely annoying, but peaceful. I put it across the room so I'm facing the ""sunrise."" I'll probably always have one of these, and will more than likely stick with this brand."
Great,Loved them.
Very well,Very good
It really fits to your size.,"Excellent for meeting, going to work, going to a friendly gathering, going to a restaurant extra...."
h,I love the lashes ????
Sizing is strange,"I purchased a 2x, which is what I normally wear. The bottom part fit perfectly, the top however, is a mess. I'm pretty busty (40DD), and I don't fill it out. It also shifts to the side so much I think its sewn incorrectly! The dress is quite beautiful, but I don't know how I'm going to fix the issue with the top."
Easy to Use,"Super easy to use!  Small, portable!"
Adequate when assembled.,"Product did not come with all parts, had to wait a week to get other parts. Also instructions for assembly were not good."
Comfortable and stays in place.,I have medium length thin hair that I like to twist up on the back of my head. This holds it nicely and comfortably and actually closes all the way over the twist so it doesn't fall down. It is also more comfortable if I have to lean my head back than some of the other clips.
Nice,Great product. Fast delivery. Will buy again
"Easy to install, fast shipping",We love ordering from Waterdrop. It’s so easy to find the filter that fits our fridge and the quick shipping is incredible. I cannot believe how much Samsung charges for filters so being able to buy two at half the price of one is AMAZING. We will absolutely keep ordering from waterdrop!
Love ❤️ these rings,"I love these rings, great quality and beautifully crafted"
Dissatisfied,I really don’t like anything about it. Slow to make coffee. Very very noisy while perking. Hard to clean and pour water in tank. Wish I dad sent it back.
So far so good,"Finally pull the trigger to buy a masticating juicer to complement the Vitamix blender. There is definitely a learning curve and the poorly written instruction of the juicer cause quite some confusion in assembly and cleaning. Ignoring the instruction, the juicer is actually easy to put together and very easy to clean with the included brushes. It is sturdy and the noise level is fine for what it does. The juice tastes great and, judged by the dryness of the pulp, this juicer offers maximum amount of juice. I already figure out a favorite receipt for the hot days. Two medium size carrots, one apple, two handful kale, one small piece of ginger and a slice of lemon. Absolutely loves it."
Doesn’t do anything,Took ages to widen an existing hole in an aluminum frame in my car. Probably spent about 5 minutes to widen the hole by 1-2mm.
This beautiful harness has a reflective strip which is nice for our evening walks.,"She grew out of her medium one and this one  fits perfectly.  Also, she is much more obedient with her service dog harness on!"
Xoxo! Meowwww ^.^,"This is kitten's most favorite toy of all timeeeee! Super sturdy and durable, hell, even I enjoy it when we play together. Pretty rainbow twirling ribbon. Really good toy for bonding."
Go ahead n buy!!,Product as described thanks will be ordering again in another color
Would  get them again,They where what I  expected
Bonito pero con detalles,"El Kong nos gustó mucho pero desafortunadamente traía dos defectos: una pierna floja que se le cae fácilmente y la segunda cabeza no embona. El vendedor fué muy profesional, me respondió rápido y me hizo un reembolso."
Good for fragrance oils,"Perfect for my fragrance oils! They are very convenient and all of the droppers work well, I ordered another set of 24 since I am expanding my soap/perfume business."
Great smell - left a residue.,"Like the smell - long lasting. It is more of an oil base so when it’s sprayed in the air, it left a residue."
Nice for filling in the lows,"Like others have said, not going to thump. More like a home theater sub. Fills in all of the lows that 5 1/4 or 6 1/2 speakers can't."
"After 9 months of daily use, this woman isn't impressed with claims",The Seller has repeatedly answered negative Amazon reviews by writing "use for 8 months minimum" and so I'm going into my 9th month (which will be my last purchase). I seriously doubt I will suddenly see changes in the 9th and last month of usage. Can we all agree that thinning hair or hair loss occurs due to many factors and what works for some here doesn't work for others? The price has fluctuated over the last 9 months but I'm out of pocket over $200 for a wild experiment I was desperate to try. Lesson learned.
Don’t cutting the packing because you might end up cutting the wipe.,It was easy to put on the phone. I didn’t need instructions on how to do it. I enjoyed the tempered glass that came for the phone.
Good Filters,Needed a new swimming pool filter. Filters are always perfect and very good seller. Filter arrived early.
Appears to work very well,"I purchased this in January 2021.  Initial tests throughout the house were in the 6.5 range even though I have been running a radon exhauster for several years on a 6 hour per day schedule.  I upped this to 8 hours which lowered the reading a little. Tested the unit outside which showed a .62 reading. Getting concerned, I purchased and installed a Honeywell ERV.  After some experimental checking, I have the ERV on low continuous, furnace fans on circulate and the radon exhauster on 2 hrs morning and 2 hours evening.  Radon now at about 2.0.  3,000 SF house air is much fresher and radon level is good - basement,  main level and upper master bedroom, all uniform at about 2.0.  I now have at our lake house.  Outside reading = .2.  Need to see what inside reading looks like this summer when closed up with a/c on."
"Superior product, durable and reliable",I love this product. I use it ten times a day at least.
Love this thread,"Great thead, nice color selection."
Great and worth it!,"Well worth money. Must use UV lamp, but after that you can go on with your day."
Even the elderly can use the echo,Echo is great. Turns on lights before I enter rooms and plays music I like.
Decent shorts,These are pretty good shorts. Nice for lounging around or doing workouts. Not something I'd probably wear too often or wear out as they aren't really my style and kind of made of material similar to some wind pants I used to have and I just don't particularly care for that look or feel. Otherwise they're good. I can stretch and move easily in the them. Nothing major to complain about more of just a personal taste and preference. Overall I like and would recommend for someone looking for something like these.
Perfect!,"Just what I needed. They fit, I can see!"
Great distractor,I have two small dogs that get into barking matches. This item will magically make them stop long enough to forget what they were barking about. It's been a real "ear" saver!!
"Comfort, shade and worth the coatt",Works great for holding baby up out of the water and doesn't flip
Not pleased.,The only thing I can say about this is that it’s warm. It’s no where near as fluffy as they claim it to be.
Not worth it,"Was excited for the desk but was a little hesitant because the reviews seemed 50/50 but thought how bad could it be? Well, it was horrible. The instructions given are not helpful at all, the measurements on the wood were incorrect, and worst of all the wood cracked. A total waste of money and who was the time or energy to return this huge thing? Not worth it."
Easy to use,So easy to use. No messy trays. Low price.
My favorite skirt!  I got it in 2 more colors!,"It's cute, sturdy, swishy, goes great with my crop tops, and sits comfortably at my waist!  After a while, I also got it in blue and pink!"
Support not strangling!,"Finally found a bra that fits big boobs, supports without wire and is actually comfortable and not strangling. Bought a second one!!"
Buen material.,Es muy buen material y bien grande. Me encanta
Failed after normal use,"After 8 months the upper swivel pulled out of the 2 or 3 threads that were there. Up until this point, we loved it."
Garbage,"Two shots from a 30-30, and the lens fell out."
Quilty,Easy to use
My niece loved it:),Very cute
Trying to wipe it off it water got inside my package,"I open the package reached my hand in to pull out the product, my hand was filled with a substance..My product came with a Vaseline like substance in the package."
Not Nearly Responsive Enough,I am waiting for a Kawai keyboard to be in stock so I picked up this item just so I could get a jump learning to sight read... and so I could test drive couple of instructional apps. Unfortunately the responsiveness on this product is just terrible. I recognize how inexpensive it is... so I was not expecting much... but it is unusable for any educational purposes. Some notes randomly wont play no matter how hard you press the "key"... other times notes will play twice when the key is struck once. Makes it impossible to complete  virtually any exercise in any app.
Excelente para viajes de playa,Me encanto. La talla es acorde a lo descrito. Peso ligero e ideal para dias soleados
Right size,Tasty.
Love the design,I bought this for my bathroom and now want to buy another set for my kitchen. I love that the bottle quality and the stickers add such a nice touch. I highly recommend the amber color! Looks very chic
Don't buy used!,"I can deal with a little cosmetic blemishes, but this was really bad. Can't believe Amazon even considered reselling this item. RETURNED!"
Super modern,I used different one long time. But i liked this one more. More modern more clean looking. I have been some troubles cleaning the old one so after i used first time and tried to cleaning on this one woow super easy. This should be the top priority if i buy more diffuser.
Fun and Functional Pill Organizer,Absolutely love this pill organizer! It has a crack in the plastic but that doesn’t bother me since it doesn’t take away from the product’s functioning. It’s so easy to use and easy to grab in the morning! This has made taking my medicine consistently easier! Plus the design is so fun! I love the color and the push button!
Very thin and flimsy,"They work, but had I known they were so thin I would not have paid so much. Super thin, super flimsy for the money lol elsewhere."
Exactly what its supposed to be a hand ratchet,"It works as it should but it's not entirely what I was looking for. It would be nice if it could work with a ratchet,  rather than be the ratchet. Either way I did find something else that works better for my needs. However ill still be keeping this to see if it comes in hand, no pun intended."
Convenient. Awesome hair collection! Sharp?,"Was really convenient removing the hair, the cats seem to sort of like it. My medium hair kitty acts a little sensitive to it, but when I am gentle she is tolerant. The metal bristles are a tad sharp feeling to me, but my long hair loves it!"
Best decision I ever made for my pup! Amazing!,My dog has dermatitis due to food allergies. Her ears were so bad and scaled losing all her fur and getting repeat ear infections. They were so painful for her. I started giving her these as a last resort. She has now been taking 1 a day for almost two months now and her ears have completely healed! All the fur has grown back also! And her skin no longer itches. I can not express how pleased I am with these. Definitely ordering again!
Does not fit,This does not fit the S10 plus
Space saver,I don't have a gym membership so I wanted something that would fit my needs. These fitness bands fit the need. They are easy to set up and use. I have them in my home office  and can take a break anytime to relieve neck and back strain.. Love the resistance levels also. I can't think of any cons for this product. So glad I found these
Nice,Nice
A great investment for happy kitties!,This is one of the best grooming tools I’ve found yet. I have three cats with varying hair lengths/coat thicknesses and this works on all of them. The curved side gets deep into the undercoat of my domestic longhair and Lynx point Siamese (very thick but short hair) whereas the straight side is really good for my domestic shorthair since he doesn’t have as thick an undercoat. I’d definitely recommend this for any cat owner.
Not pleased,"The seller needs to mention, this is only the overlaying for a comforter"
So many uses!,"I’m going to buy another pack. We have these everywhere for convenience. Bike trailer, car seat, wheelchair. Depending on where you put them they can be a tad short so I connected 2 to make it longer."
Great price and charges fast,"I have an iPhone SE Gen 2, an iPhone 11, and AirPods Pro. The charger works great with all my devices and the charging is very fast. Note that the price on this one is lower than the other brands, but does not come with the charger brick for the wall, which is fine with me since I have a stack of them."
Crazy Cart,A++++
Pet Safe Dancing Dot,"My cat goes after reflected light and absolutely loves chasing the red beam around!  As soon as he hears the beep when I turn it on, he comes running!"
America the Pillow,"This pillow cover just screams America. I think if I was to cut into it now, it would bleed red white and blue. Performs perfectly with it’s main function of cushioning my back. Nice thick material and good quality, just like the country I love so much!"
It is good they did not cut it,Can't say anything about the product as they put it folded in the small envelope. Anyway it is good they did not cut it in 2-3 pieces.
Best vitamins,These are so good. I was looking for something easy to chew and these are definitely it.
Bueno,Bueno para trabajar
Excellent Product for the Beginner,I purchased this for our friends 7 year old son for Christmas and he absolutely loves it.  He was able to learn everything quickly and thoroughly enjoys flying it!  Would purchase another as a gift if the occasion arises.
"I'm Not Blue, Happy","This item was nothing short of wonderful!  I'm an early packer whenever I'm traveling.  It's rare last minute plans come up.  Blue is my signature color and now my blue cubes are my best friend.  I packed for a 12 day stay, and was able to compress everything I was wearing and include all my toiletries and daily health products without my suit case screaming for mercy.  I loved it so much, I bought one as a gift for my daughter.  And hers is blue also."
Have a soft towel handy if you purchase this,"The screen protector, protects the screen, but you have to clean it hourly because it picks up the slightest bit of oil.  Due to the fingerprint scanner, ZAGG couldn't used Tempered Glass, so we are stuck with using this one.  Just have a glass cleaner handy if you use this so that you can keep it clean."
????????,????????
Bezel Installment,"Instructions were easy to follow, and installation of the bezel went without any difficulties!"
SHOULD HAVE sent it back !!!!!!!!,"NOT HAPPY with the  Owl ,it claims that the sensor is good for up to 10ft certainly NOT TRUE,you have to put your hand within a foot of it before it goes off and the sound is so weak you can hardly hear it ,not to mention the eye’s there certainly aren’t VERY BRIGHT !!!!!!!!!!"
Color of product not as described.,The size was too small and the color was blue instead of grey that I wanted.  It was listed as dark grey but was actually blue.  I returned it.
Hive heaters,They work great for keeping my bee hives warm when it was below freezing. Put them in a top box with a 3/4 in osb with 2 vent holes in it for the heat to get in the hives. 3 in vents with mesh screen over the holes. They were very happy bee's. They do get very warm but with the separation to the hives made it perfect for them. So I got more and ceramic light fixtures for them so I can get them in the rest of my hives before winter comes again with the sub zero Temps. Now I can keep bee's through the winters now.
Broke fast,"This product was very inexpensive but it broke fairly easily. Like within 2 days. I’d spend more money on something sturdier, so I know it’ll last."
Nice backup battery for work,Real convenient at work or in the car.
Defective unit,"The unit I received appears to be defective. When installed, the fixture only produced a dull flickering light. Replaced with a Robertson unit which works as expected."
Fit,"very comfortable, fits well"
Perfect Fit,"A bit pricey but worth it, perfect fit"
"looks beautiful, but the scale is at the back, so the design should be improved.","It looks beautiful, but the scale is at the back, so the design should be improved."
Great Blender!,This hand blender does a great job blending hot soup. So much easier than pouring into a traditional blender and much easier to clean. It's also great for smoothies. Looking forward to trying the other attachments. Holds up to more expensive brands. I recommend!
Fits well,Perfect for our car Honda Civic. Would recommend
Aziz set up,Quality
So cute!,It’s the cutest! I bought this for my daughter for Easter and I think she’s gona love it. The colors are just so cute. I can’t get enough of it.
Way too lawngggg!,"Not truly universal.  Too long for my mower, so I have to fold or tie under front.  Way too long."
Good with reservations,The mitts and the trivets are good.  The little lobster grippers? Or whatever they're called aren't thick enough.  They get extremely hot when you pick something up.  Other than that they're nice for the price.
works to get smoke and nicotine off walls,"I love this product! I would definitely buy them again. I was looking for a way to clean 20 yrs of smoke and nicotine off my walls. Anyone who has ever done this knows just how difficult of a task it is. None of the various spray cleaning products I tried would work. I even tried using a vinegar solution without success. Out of desperation I tried a regular magic eraser on a test spot as a last resort before giving up and it came right off with little to no scrubbing! So when I saw they made a mop I just had to order a box. It absolutely worked wonders.  I did not use them on a mop handle though. I was working on the walls in my hallway and since its close quarters I found I had more control without one. I didn't even need to use any kind of soap with them, just a little water. The only improvement I feel would be necessary would be to make the magic eraser part of the sponge mop head a little thicker. I was afraid it wasn't going to be thick enough but it still got the job done."
Beautiful,"I have not done them yet, but everything arrived as described and the look beautiful.  Can't wait to do them."
Nice but no bluetooth,No bluetooth
Effective and easy to use,Easy to use and great for at-home or on the go use. Very helpful for my shoulder pain and any other soreness.
Beautiful lashes,Beautiful lashes
A must get item!,I like the feel and the fit. So light and comfortable.
Solar Charger/Power Bank,"As far as I can tell, the solar power bank not only is very durable, but it holds a lasting charge.  You don’t have to charge it quite as often because it holds enough charge.  The solar panel works wonders especially when you do not have an outlet nearby. It’s a tab but heavy but the most important thing is that it’s reliable to power up your devices anywhere you go."
Good quality,Good quality. The red card inside is attached to the wood.
Coolest lighter ever!,So cool!  Doesn't look cheap at all.  Can't wait to use it.
Tiene buena calidad,Me agrado mucho y lo utilizo en mi auto
Nail drill,Very small but easy to use and convenient
Not the most sturdy.,Not very sturdy but not a lot of money either.  Should have bought a better one.  Basically used for making smoothies.
This is so easy and safe to use.,"I had to use this to jump start a dead car battery as my car  RX350 was idled for a while.  The battery was so dead that I could not even open the car door with the remote and had  to use a key.  Although it took 3 tries, I was finally able to jump start my car."
Love it,"Perfect for what i needed it for. Using for church bag to carry my notebooks, Bible and pens. Durable and great value for the price."
Love these sandals,Perfect fit. Very comfortable
Good affordable 1/2" CNC cutting Bit,"Comes in plain envelope, and is stored in a sturdy plastic case.  No label on case so be sure to label the storage case so you know which bit is in it.  Used it to cut some 3/4"" Oak Plywood, and it did a great job with clean cuts and minimal splinters."
Cheap,"Piece of junk, sorry!! If you cycle at a gym this bike is like driving a a smart car vs a Cadillac. Feels very cheap, can't stand up on it,even with the tension very high. You drop down."
UV paint!,I'm a professional Face Painter and I'm using this for glow in the dark parties where we use UV light in face painting. It's perfect and I appreciate the speediness of your product arriving. Thank you so much
Don’t buy!!!,"Constantly falls off of my vents, my phone constantly falls out. It’s cause me to almost get into a accident. Don’t buy!!!! Not safe!!!"
$$ and shipping cost.,Shipping $$ is too high for 2oz wire.
Happy mother in-law ????????,"Bought this for my 84 yrs young mother in-law to replace another, that isn't available anymore. She loves it ???? she gardens everyday."
Quality,Nice quality
Excelente,Excelente
"Comfortable, slip resistant",Work great. I normally wear low cut boots that costs 4 x this and have to buy special insoles. These work just as good and look better. Slip resistant in oily conditions. They do squeak a little when on vct tile so no sneaking up on anyone.
Nice,The way its setup I can plug more large plugs in.
"This is a very bad cooker , do not buy this item","THIS is a very bad cooker, it will burn your finger tips if you touch the outside of the pot, even on low setting. Warranty is only good  if YOU pay for return  shipping costs."
Not happy with these,I usually like this brand but these ones seemed different in texture and make your face look white the original ones never did this and were thicker in texture.
A classic favorite,"Classic, sexy scent. Great casually & date nights"
Easy and fun,What I love about the slime kit is that they don’t have to actually make the slime but rather mix in fun little things to make the slime more fun. My daughter loves the kit.
Love it,Really good
Arrived completely smashed,Came in completely smashed! Teeny Tiny shards of glass are everywhere!
DAMN!!!,....just trust me
Pump doesn't work!!,I love the smell of this but the pump doesn't work and this is the second one from Hemps Lotion that is defective! Go back to your original pump that didn't have this issue! It's too much of a hassle to return it and hope to get one that works!
Stops working very quickly,"One thing I will say, it’s easy to install. However, I literally just got my lights and it has been no more than two months and they are broken already. They stopped working. The lights are a nice touch in your car but do not plan to have this long term."
Nice but super deep,"I must not have noticed that this is a DEEP pan meaning the pan portion is more like a bowl. There are good an bad points to that....for one, you can fit way more stuff in here to sautee without flipping stuff out of the pan. However, it also makes it harder to flip things like eggs or pancakes."
Awesome,These things are well worth the money. Got them for my teenage daughters room and they exceeded my expectations. Will definitely order again if needed.
works as advertised,"heat shield attached, rated for 100a"
Great holster!,"I like the extra protection a holster provides when I'm out and about, but I also really like my silicon magsafe case. This holster gives me both. It looks nice and appears to be well made and sturdy."
Buy them. Stop thinking about it and buy them.,"I have never recommended a product more than this loofa, I’ve sent the product link to at least a dozen people. I bought them mid-January and my love for it has only grown. I feel like a freaking dolphin. My skin is amazing, I didn’t even know it could be this soft. It’s like I did a full body sugar scrub but without the effort or cost. Buy them. Buy them now."
amazing product,amazing product that i ordered more lights to do my bedroom
Cereal wasn't put in a box,"My package was not a box....took forever to get here and when it did oh my goodness so messed up...was in a yellow millia folder ,torn , cereal box torn and mashed.....cereal bag got a hole somewhere, somehow, ..it was a mess"
Great watch,"Keeps really good time (It's a Casio).  Looks beautiful. Perfect size.  It is easy to read in daylight.  At night it is tougher for me to read, as my eyes are old. But it is now the watch I wear the most and it was a great bargain."
This is the VERY best tuxedo!!!!!! Look no further....,"This is the VERY best tuxedo choice for any man that wants to look and feel great when attending any formal event.  I was initially concerned about the quality since the price was so affordable. However, I’m really impressed with the quality and design of the tuxedo. It looks exactly as shown in the pictures and the quality is very superb.  The fabric feels just as nice at the ones you rent but you get to keep yours and wear it over and over again!  The pants are unhemmed so you can get your local tailor to hem them to meet your preferred length.  Overall, I give this a thousand stars because the tux is very well made, the price is super affordable and the customer service is superb.  They respond to your questions very quickly and help you find the right size based on your body measurements.  I love them so much that I ordered eight of them for my groom and all his groomsmen for our upcoming wedding.  I highly recommend this tuxedo.  Father’s day is coming up and this is an excellent option for a father’s day gift.  You can use it for weddings, funerals, Prom, Formal dinners, Cruises and just about any occasion."
Didn't work for me,"Boxes wouldn't stay in tact, kept falling apart and I still had problems.  A waste."
Perfect match with my living room rugs.,Love the design.they look great with the large rug and runner I have.
Too big i returned it,Nice but too big
Factory mistake.,Look at the assembly mistake on the top row. I can only use 3/4. I really needed that 4th one. Not happy.
Do not buy leaks!!,Leaks! We used it for the first time since we bought it and no matter what we do we can’t tighten it enough. Its on tight but it still shoots out water!!!
Way overpriced,Way overpriced.
Es más barato en otros lados.,Motiva mucho a los niños a usarlo
The RIGHT tool to buy.,Guide pin size selection is excellent.  Functioned perfectly as designed and advertised
Easy to use,They are easy to work with. And product turns out great.
WORKS WELL!!,Product works well and it is easy to use!!
Perfect,So adorable.
Not what I ordered,I ordered 24 pieces and only received 4
if I can give a negative star I would,The product leaked all over the bottom of the box as shown in the delivery picture once open it all in the plastic bag.
paper wishes is great,"I've been getting these cards and envelopes from paper wishes for years, if I had known they were coming from paper wishes i would have just ordered from them but I am very happy with them, and the envelopes are big enough to fit  the card even with layers, foam tape and embellishments"
Pockets do not stay closed with the current velcro.,"I work in a Safeway Fuel Station in Newport, WA.  My boss purchased a Dib Safety Vest for me previously.  I ordered another one so I would not have to wash the one I already have so frequently.  My only complaint is that the pockets do not stay closed with the velcro.  I am forever trying to re-close them.  Otherwise, I love everything else about the vest."
Don’t waste your money,Piece of cloth with no cooling observed whatsoever.
I love this soap,This soap works great !
Needs some tweaking,"I purchased this as only a rear support harness.  If it is not attached to anything at the front half of the body it will slide off my dog rather easily.  I also had to modify the belly band because, despite the u shaped area for male dogs, it continually got peed on.  I ended up just wrapping the whole belly band with self adhesive wrap to keep that piece out of the way.  It's not perfect but it works for now.  It is far superior to not having anything at all and provides good stability for my DM Boxer."
works well,easy to use and a “MUST HAVE” to reset TPMS system after moving tires to different position
WOW! KEiiD Nailed It!,"The sound quality is everything I was hoping for. Rich, warm Bass, Crisp, clean Treble. Every song sounds better than I expected, so I keep going from one favorite song to the next. The controls are easy to figure out and when you ask it to do something, it does it instantly. It has plenty of volume. Half way up, is all the distortion free volume my ears can handle. Everything about this machine just shouts: ""High quality and very well thought out."""
TaoTronics vs Homech Tower Fan,"They are almost identical. Homech is slightly taller and narrower but a bit nosier, and the bottoms are located on the top, not in the front like TaoTronic so this is just personal preference. The base, both are not very steady. Personally, I like TaoTronics a bit more."
Working Great,"Working great, no complaints"
Fit,Would not fit over my teeth to short from  top to bottom
Just get it,"I love everything about it, especially the adjustable clip. Is much thinner than other holster I've tried making is more comfortable and less noticeable"
Does the job just fine,"We recently ran out of butane on our old flexible neck gas lighter, which has lasted us near a decade (we obviously don't light many things, other than the occasional birthday candles). Decided to see what's new in the world of lighter technology and saw these newfangled plasma arc lighters and had to give it a try. This brand seems to have the most established presence, and I chose this model because of the extra safety slider over the activation button (seems a bit more failsafe when this goes into a drawer). The lighter does the job just fine, lighting candles with ease. We've already made use of it several times due to a couple recent unexpected power outages. Not sure how well the tip will stand up over time, but it's nice not having to get butane refills."
Perfect Part,This part was a perfect fit for my Chevy S10. I have installed the part and it does the job quit well. I now have all my blower speeds for my air and heat in the truck. Thanks
Light brown color is more reddish brown,"Tried this because it's cheaper than my usual brand. It works ok, however the light brown is more of a medium reddish brown."
Beat buy,Great work right away
love love love!!!,"last year i lost my childhood best friend, i’ve wanted something in memory of her for awhile now and couldn’t decide on what to buy. i ran across these necklaces while scrolling through Amazon, i cant even begin to put into to words how much i love it. it doesn’t replace her but its something small to carry around and keep her memory with me."
Double door dilemma,"I was replacing the same unit that went bad.  Water somehow got in and corroded the battery terminals.  Hope it won't happen on the replacement.  It was hard to get the second door programmed, I found the steps a little confusing.  Now it's programmed, it will only operate one door ""at a time"", meaning if I operate door 1, I can't operate door 2 right away, I need to wait until the remote is no longer working door 1 so I can input the code and select door 2.  A bit of a pain."
No bones in soup,Prevents any bony remnants from turning up in soup (aargh). Great way to add flavorful spices while keeping broth clear and uniform.
"Great vaule,  great price, great lights",Loved these lights!!! Better and brighter than the first one I bought. 4 lights really make a difference!!! Light up my garage and highly recommend!
Works better than anything I've tried over the years,"This extremely absorbant cream goes on easily and leaves no residue.  When used regularly it is effective. I've used many foot creams in the past,  but the ingredients in this product is noticeably making the difference."
really good cards and envelopes!,"i absolutely love the colours of these cards! they’re really good material as well!! the only issue i had at first was that i couldn’t use regular markers on them, so i had to use sharpies, but i used metallic ones a few times and they look great!"
Cozy nightie,It is soft and very comfortable.
Cute but not worth so much money,The outside and the little individual boxes inside are cute and plastic but the separators are very flimsy cardboard.  It works but it leaves me concerned it won’t last long. Not worth the $35 I paid for it.
works as described,wokred as it should. comes in handy to have incase you ever have to use again
Quality,Great instructions and build quality!!
Love them!,I been looking for these for months and I finally got them! They’re so good!
Noice,It stand up on its own. It has an expensive look that elevates my fit
Great product,I’ve been struggling to use regular eyelashes. I always mess up with a glue but this one is a game changer. Super easy to apply the liner (just need to wait a bit to dry) and apply the lashes. No mess and takes minimum of time to do it. Would definitely recommend this product.
crystal clear night vision.,The night vision on this dash cam is superb compared to the last dash cam I own. I can zoom in on the license plates and view them as clear as daytime. The free SD card that comes with it is also sweet.
Nope!,Nope not very good at all.  Does not protect the charging cord from bending.  I would not buy again!
Not Sturdy - broke on first use,"Bought this item for the sheer number of screws, nuts and spacers as well as the innovative storage arrangement. Unfortunately, on the latter the product disappointed completely as it broke on first use. Construction is flimsy and not appropriate to support the relatively heavy weight to carry the 3 compartments as a single unit. Furthermore on 2 of 3 compartments one of the latches to hold the lid with the rest of the body don't close properly"
Cute Easter Bags,"The bags were smaller than I thought (my fault), but I just filled them up.  Very colorful."
Love it,"I love how it made my hair feel . I  am in love with they way my 4b hair looks after use, you can see all my natural  waves in my hair"
Not soft. Very thin,Very thin and flimsy. Does not add any cushion or softness.
Cheap chinese garbage.,"Every time you shoot the dot moved where you set it, wouldn't recommend for even air-soft."
None,Like it
Worth the price,"Fit well, and helped reduce headaches when gaming"
Nice,Great
Pick these!!,"These lights are awesome, they turned by bath time into magic! Creates great ambiance and relaxation with the color changing function. And it's magnetic so it sticks to the side of the tub which is another great feature. You would not regret this purchase!!"
As advertised,Great nail brushes!
thank you! good quality! fast delivery! i am happy,thank you! good quality! fast delivery! i am happy
Fixed,Worked well and went on easy even for one person doing it
Great Dog Food,"This is premium dog food.  I typically purchase this food by going to my local pet food store.  But with the Covid Virus, I decided to purchase from Amazon this time.  My dog is 14 years old and very healthy.  This is a great food for her."
Very bright,"I got this hoping it would replace an outdoor florescent blub in an outdoor fixture(9142b), but that did not work; this did not meet the power requirements. However this has found a home in my basement where it is very bright and lights the whole area with a single bulb. I would recommend for a workshop or somewhere that needs a large area lit with minimal fixtures."
Easy Peasy!,Was surprised how easy this was to install.
Love it,I added patches
Cute,Love it.  Perfect for my cell phone wallet
INEFFECTIVE,Sprayed two bottles on patches where nutsedge was growing in my lawn. All it did was turn the blades brown. It does not kill the roots. I have just as much nutsedge as before I used this product.
Good Quality,My Boulder loves this bed????????????????❤????
Super cute,It’s super cute bigger then I thought it was gonna be. It is wrapped very well in a styrofoam type material and didn’t have any cracks or breaks!!! My mail lady is just awful so super happy it’s not broken. It came earlier then it said it would arrive which I was also happy about that.
Great Product,"Great product, keeps my tea warm or hot whichever i want"
It's a toy camera,Granson loves it
Not a bang for your buck,"No absorbency, and when washed produces many fuzz balla"
Affordable,"Functions very well and very affordable , nice alternative to Apple Pencil"
Good quality,My feet was happy about it. The stretch did not change even after washing it hot water several kind
Great quality,I was really surprised with the quality of these censored lights and with the quality of the solar panel for the price they haven't posted is dirty compared to any other store
Great Balloons,"Very nice, beautiful color and quality!"
Would buy again.,"Almost no sound, cats love it. Would buy again."
definitely helps,It is the best at reducing frequency of urination; I haven't been able to tell if that is prostate squeezing less or change in bladder muscle but the net result is not having to go as often.
